video_title,url
职业生涯中，你需要早点犯个错,https://www.bilibili.com/video/BV1ZV4y1v7aT
为什么我不想看到下属太忙？,https://www.bilibili.com/video/BV1uF411976h
掌握这些技巧，轻松误导他人,https://www.bilibili.com/video/BV1Rs4y1p78r
如何战略忽悠住你的老板？,https://www.bilibili.com/video/BV1QM411U71P
策略：如何实现你的目标？,https://www.bilibili.com/video/BV1h24y1d7BH
如何喜欢上自己的工作？,https://www.bilibili.com/video/BV1xe4y1Z7oV
三条奥义学会在职场里有效提问,https://www.bilibili.com/video/BV1T14y1t7Xj
工作中最重要的三个月，如何应对？｜这四个好学生习惯一定要改！,https://www.bilibili.com/video/BV1HN4y1L7nF
汇报重要，还是工作重要？,https://www.bilibili.com/video/BV18W4y1U7yC
为什么减肥不应该盯着体重？｜Agency Problem — 不容忽视的管理常识,https://www.bilibili.com/video/BV17t4y1p7ST
数据科学家，为什么反对靠模型做决策？,https://www.bilibili.com/video/BV1NY4y1h7YC
用数据找PMF之留存｜一个最重要但是最被低估的指标｜来自一线实战的三个定义｜课代表数据大师课3,https://www.bilibili.com/video/BV1Eh411x7ns
数据分析的核心价值｜画柱状图是数据科学吗？｜课代表聊数据第10期,https://www.bilibili.com/video/BV1A34y1X7gh
羡慕那些提问一针见血的同事吗？运用这个思维框架，你也可以！,https://www.bilibili.com/video/BV1bV411i7kj
如何高效学习和工作？,https://www.bilibili.com/video/BV1mr4y1N7JU
94年的亚马逊Manager，他的成功（真的）可以复制,https://www.bilibili.com/video/BV1Yh41127rz
互联网企业中Senior和Junior能力有什么不同？｜Junior怎么培养自己Senior的能力？,https://www.bilibili.com/video/BV1cp4y1B7Hj
什么是好的数据可视化｜YouTube和B站后台对比｜不要用饼状图不要用饼状图不要用饼状图,https://www.bilibili.com/video/BV1Kv411r7T8
从云游戏到云一切 — 来自互联网巨头们的「降维打击」,https://www.bilibili.com/video/BV1gy4y187S4
面试中用通用方法拆解所有问题的技巧 - MECE,https://www.bilibili.com/video/BV1qy4y1y7sk
为什么开放式问题里，答案不重要？,https://www.bilibili.com/video/BV19f4y1S7ao
教老板做事？这样汇报就对了！,https://www.bilibili.com/video/BV1fh411s7mW
想独当一面，得学会从对错看到取舍,https://www.bilibili.com/video/BV1wS4y1k7Cu
十年创业，阿里收购，辛酸艰苦坦白局｜九州云腾-尚书,https://www.bilibili.com/video/BV1MK41187tX
字节早期，中美体验，创业大厂，元宇宙,https://www.bilibili.com/video/BV1MG411C7oB
如何找到10%高价值工作，降维打击内卷？,https://www.bilibili.com/video/BV1ns421N7d2
想「成事」，先改造潜意识,https://www.bilibili.com/video/BV1yp4y1j7mf
高价值工作，如何发挥最大效果？｜Go to market multiple times,https://www.bilibili.com/video/BV1S7421d71k
只有三件事我们能控制：attention，effort，time,https://www.bilibili.com/video/BV1Nu4m1c71U
用数据找PMF之留存｜一个最重要但是最被低估的指标｜来自一线实战的三个定义｜课代表数据大师课3,https://www.bilibili.com/video/BV1Eh411x7ns
【全英】数据科学应该转PM吗？,https://www.bilibili.com/video/BV13u4y1Y7w4
涨粉和赚钱的底层逻辑 ｜漏斗｜课代表数据大师课,https://www.bilibili.com/video/BV1Qir2YFEv4
如何想深两层？,https://www.bilibili.com/video/BV1XnPNeBE8m
掌握这些技巧，轻松误导他人,https://www.bilibili.com/video/BV1Rs4y1p78r
这是不花钱也能看的吗？｜亚马逊Science Managers们的AMA｜最实在的高端数据科学职场分享｜四位加起来27级的纯干货,https://www.bilibili.com/video/BV1Rq4y1S7Nk
前亚马逊VP教我们职业发展｜课代表networking的案例展示,https://www.bilibili.com/video/BV1sT4216747
满分简历第一步：明确目标，第二步：删掉90%，第三步：照着这个视频做｜真实案例分享,https://www.bilibili.com/video/BV1mXCJYnEF1
如何通过解读Job Description，让自己的简历被认真对待？,https://www.bilibili.com/video/BV1mH4y177P1
审阅两万简历后的精华建议,https://www.bilibili.com/video/BV1gZ4y1f7En
获取Product Market Fit的三个步骤,https://www.bilibili.com/video/BV1Xf421v7Ga
高价值工作，如何发挥最大效果？｜Go to market multiple times,https://www.bilibili.com/video/BV1S7421d71k
程序员开餐馆，真实经历、心态、历练分享｜生意是道场｜会员专属,https://www.bilibili.com/video/BV1w1421D7jr
如果不是这期视频我就去开餐馆了｜高寒餐饮创业建议_上,https://www.bilibili.com/video/BV1oz421v7p5
用一颗咖啡豆连接土地和人｜泰华梧桐岛起源故事,https://www.bilibili.com/video/BV1Ts4y1u7DX
理解降维打击的真正意义｜雷军的终局思维,https://www.bilibili.com/video/BV1eo2xYXEKg
一定要实体化你的工作｜Artifacts,https://www.bilibili.com/video/BV1mp4y1c7PN
如何在众多同事中脱颖而出？｜工作标签,https://www.bilibili.com/video/BV1mC4y1q796
